2020-08-17 15:53:44,159 [Server thread] INFO Treasure2 | WitherTreeWorldGenerator.java:370 | CHEATER! wither chest at coords: 2552 63 1224
2020-08-17 15:53:44,904 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 2536 64 1384
2020-08-17 15:53:56,628 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 2584 66 1448
2020-08-17 15:54:09,020 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 2616 79 1160
2020-08-17 15:54:19,435 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! EPIC chest at coords: 2360 76 1464
2020-08-17 15:54:26,493 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 2488 63 1496
2020-08-17 15:54:35,739 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 2152 80 1480
2020-08-17 15:54:39,611 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! SCARCE chest at coords: 2072 68 1464
2020-08-17 15:55:09,952 [Server thread] INFO Treasure2 | WellGenerator.java:122 | CHEATER! Wishing Well at coords: 2088 64 1304
2020-08-17 15:55:10,630 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 2072 67 1352
2020-08-17 15:55:13,769 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 2072 64 1192
2020-08-17 15:55:15,271 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 2008 74 1416
2020-08-17 15:55:48,942 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 1960 65 1256
2020-08-17 15:55:49,613 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 1992 65 1176
2020-08-17 20:39:14,735 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 232 63 -392
2020-08-17 20:39:22,934 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 264 63 -488
2020-08-21 19:09:05,076 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 568 68 -488
2020-08-21 19:09:44,876 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 680 77 -584
2020-08-21 19:11:45,764 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 600 67 -616
2020-08-21 19:11:45,928 [Server thread] INFO Treasure2 | WellGenerator.java:122 | CHEATER! Wishing Well at coords: 584 64 -616
2020-08-21 19:12:39,715 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 680 66 -664
2020-08-21 19:12:48,670 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! SCARCE chest at coords: 552 63 -696
2020-08-21 19:12:50,543 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 504 65 -600
2020-08-21 19:12:57,758 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 424 74 -568
2020-08-21 19:12:59,158 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 664 64 -776
2020-08-21 19:13:02,187 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 824 68 -696
2020-08-21 19:13:31,816 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! SCARCE chest at coords: 792 63 -824
2020-08-21 19:13:32,584 [Server thread] INFO Treasure2 | WellGenerator.java:122 | CHEATER! Wishing Well at coords: 790 63 -856
2020-08-21 19:13:37,674 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 680 63 -904
2020-08-21 19:13:49,392 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:287 | CHEATER! RARE chest at coords: 884 51 -781
2020-08-21 19:15:35,654 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 344 66 -456
2020-08-21 20:51:08,356 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! EPIC chest at coords: 232 68 -600
2020-08-21 20:55:00,388 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 360 71 -616
2020-08-21 20:55:22,066 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! SCARCE chest at coords: 312 64 -696
2020-08-21 21:31:21,904 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 24 68 -744
2020-08-21 21:31:30,566 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 120 77 -744
2020-08-21 21:31:36,138 [Server thread] INFO Treasure2 | WellGenerator.java:122 | CHEATER! Wishing Well at coords: 40 61 -842
2020-08-21 21:31:53,123 [Server thread] INFO Treasure2 | WitherTreeWorldGenerator.java:370 | CHEATER! wither chest at coords: -40 68 -856
2020-08-21 21:31:53,734 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: -152 79 -872
2020-08-21 21:32:01,381 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 120 77 -888
2020-08-21 21:32:53,091 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: -248 65 -856
2020-08-21 21:40:15,651 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! SCARCE chest at coords: 216 72 -680
2020-08-21 21:40:33,658 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 248 69 -760
2020-08-21 21:42:35,334 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 248 63 -888
2020-08-21 21:44:18,254 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! RARE chest at coords: -440 71 -952
2020-08-21 21:46:40,683 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:287 | CHEATER! SCARCE chest at coords: -680 44 -1248
2020-08-21 21:46:50,876 [Server thread] INFO Treasure2 | WellGenerator.java:122 | CHEATER! Wishing Well at coords: -920 68 -1272
